ID,Toys,Toy Owner/Patent?,Date Created ,Toy Inventor,Toy Type,Year of Induction,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
,Jenga,Leslie Scott,1980's,Lesie Scott,Competative,2020,,,,,,,,,,,,,,,,,,,,
,Sidewalk  Chalk,,,,Arts/Stationary,2020,,,,,,,,,,,,,,,,,,,,
,Sand,,,,Outdoors,2021,,,,,,,,,,,,,,,,,,,,
,Risk,Parker Brothers,1957,The Parker Borthers,Micelanious,2021,,,,,,,,,,,,,,,,,,,,
,American Girl Dolls ,,,,Doll/Action Figure,2021,,,,,,,,,,,,,,,,,,,,
,Top,,,,,2022,,,,,,,,,,,,,,,,,,,,
,LiteBrite,,1966,,Arts/Stationary,2022,,,,,,,,,,,,,,,,,,,,
,Masters Of The Universe,Mattel,1972,"Marvin Glass, Henry Stan, and Burt Meyer",Doll/Action FIgues,2022,,,,,,,,,,,,,,,,,,,,
,Baseball Cards,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Nerf Toys ,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Fisher Price Corn Popper,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Cabbage Patch Kids ,,,,,2023,,,,,,,,,,,,,,,,,,,,
,Transformers,,,,,2024,,,,,,,,,,,,,,,,,,,,
,My Little Pony,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Phase 10,,,,,2024,,,,,,,,,,,,,,,,,,,,
,Trivial Pursuit ,,,,,,,,,,,,,,,,,,,,,,,,,
,Slime,,,,,,,,,,,,,,,,,,,,,,,,,
,Battleship  ,,,,,,,,,,,,,,,,,,,,,,,,,
